14-02-16_12:19:20,el X,el Y,el Z,o X,o Y,o Z,net X,net Y,net Z,0.0
14-02-16_12:19:20,el X,el Y,el Z,o X,o Y,o Z,42.164097,11.499299,11.332643,0.0
14-02-16_12:19:20,el X,el Y,el Z,0.3973487,-0.53845173,-0.25140053,42.164097,11.499299,11.332643,0.0
14-02-16_12:19:20,-1.7298107,1.9081788,8.948329,0.3973487,-0.53845173,-0.25140053,42.164097,11.499299,11.332643,0.0
14-02-16_12:19:20,-1.7298107,1.9081788,8.948329,0.3973487,-0.53845173,-0.25140053,42.023884,11.375583,11.217174,0.0
14-02-16_12:19:20,-1.7298107,1.9081788,8.948329,0.22158006,-0.6151508,-0.3813628,42.023884,11.375583,11.217174,0.0
14-02-16_12:19:20,-3.4847605,1.1540052,8.015787,0.22158006,-0.6151508,-0.3813628,42.023884,11.375583,11.217174,0.0
14-02-16_12:19:21,-3.4847605,1.1540052,8.015787,0.22158006,-0.6151508,-0.3813628,41.43207,10.755392,10.788989,0.0
14-02-16_12:19:21,-3.4847605,1.1540052,8.015787,-0.18535095,-0.15708709,-0.21731208,41.43207,10.755392,10.788989,0.0
14-02-16_12:19:21,-0.5303157,0.748188,9.227253,-0.18535095,-0.15708709,-0.21731208,41.43207,10.755392,10.788989,0.0
14-02-16_12:19:21,-0.5303157,0.748188,9.227253,-0.18535095,-0.15708709,-0.21731208,40.18088,9.451763,10.040535,0.0
14-02-16_12:19:21,-0.5303157,0.748188,9.227253,-0.049490854,-0.38752162,0.15213041,40.18088,9.451763,10.040535,0.0
14-02-16_12:19:21,-2.078167,1.5682021,8.198944,-0.049490854,-0.38752162,0.15213041,40.18088,9.451763,10.040535,0.0
14-02-16_12:19:21,-2.078167,1.5682021,8.198944,-0.049490854,-0.38752162,0.15213041,38.09542,8.079794,9.221304,0.0
14-02-16_12:19:21,-2.078167,1.5682021,8.198944,-0.1197983,0.32940134,-0.3986113,38.09542,8.079794,9.221304,0.0
14-02-16_12:19:21,1.4664485,-0.93134445,7.1227503,-0.1197983,0.32940134,-0.3986113,38.09542,8.079794,9.221304,0.0
14-02-16_12:19:21,1.4664485,-0.93134445,7.1227503,-0.1197983,0.32940134,-0.3986113,35.562466,7.317934,8.596428,0.0
14-02-16_12:19:21,1.4664485,-0.93134445,7.1227503,0.038926095,-0.44717643,-0.16212259,35.562466,7.317934,8.596428,0.0
14-02-16_12:19:21,-0.20350714,2.779668,9.627085,0.038926095,-0.44717643,-0.16212259,35.562466,7.317934,8.596428,0.0
14-02-16_12:19:21,-0.20350714,2.779668,9.627085,0.038926095,-0.44717643,-0.16212259,35.562466,7.317934,8.596428,2.0
14-02-16_12:19:21,-0.20350714,2.779668,9.627085,0.038926095,-0.44717643,-0.16212259,33.42445,7.1384873,8.237561,2.0
14-02-16_12:19:21,-0.20350714,2.779668,9.627085,0.44150737,-0.2306958,-0.342017,33.42445,7.1384873,8.237561,2.0
14-02-16_12:19:21,-0.045489833,-0.50397944,9.653421,0.44150737,-0.2306958,-0.342017,33.42445,7.1384873,8.237561,2.0
14-02-16_12:19:21,-0.045489833,-0.50397944,9.653421,0.44150737,-0.2306958,-0.342017,33.42445,7.1384873,8.237561,0.0
14-02-16_12:19:22,-0.045489833,-0.50397944,9.653421,0.44150737,-0.2306958,-0.342017,31.593115,7.3222075,8.109772,0.0
14-02-16_12:19:22,-0.045489833,-0.50397944,9.653421,0.57679594,0.3328291,-0.19074945,31.593115,7.3222075,8.109772,0.0
14-02-16_12:19:22,2.1296425,0.8463503,8.901642,0.57679594,0.3328291,-0.19074945,31.593115,7.3222075,8.109772,0.0
14-02-16_12:19:22,2.1296425,0.8463503,8.901642,0.57679594,0.3328291,-0.19074945,29.68519,7.1976213,8.051658,0.0
14-02-16_12:19:22,2.1296425,0.8463503,8.901642,-0.16356283,-0.06984086,0.12776461,29.68519,7.1976213,8.051658,0.0
14-02-16_12:19:22,0.2645593,3.867833,7.466318,-0.16356283,-0.06984086,0.12776461,29.68519,7.1976213,8.051658,0.0
14-02-16_12:19:22,0.2645593,3.867833,7.466318,-0.16356283,-0.06984086,0.12776461,27.747221,6.01845,7.86512,0.0
14-02-16_12:19:22,0.2645593,3.867833,7.466318,-0.44271964,-0.2699601,-0.028741634,27.747221,6.01845,7.86512,0.0
14-02-16_12:19:22,7.129933,0.88944596,13.992912,-0.44271964,-0.2699601,-0.028741634,27.747221,6.01845,7.86512,0.0
14-02-16_12:19:22,7.129933,0.88944596,13.992912,-0.44271964,-0.2699601,-0.028741634,25.56821,4.329858,7.6541743,0.0
14-02-16_12:19:22,7.129933,0.88944596,13.992912,-0.8784128,0.7526937,-1.0844187,25.56821,4.329858,7.6541743,0.0
14-02-16_12:19:22,-2.9221232,2.8766334,10.819398,-0.8784128,0.7526937,-1.0844187,25.56821,4.329858,7.6541743,0.0
14-02-16_12:19:22,-2.9221232,2.8766334,10.819398,-0.8784128,0.7526937,-1.0844187,23.37552,3.39207,7.6465344,0.0
14-02-16_12:19:22,-2.9221232,2.8766334,10.819398,-0.062420234,0.26799843,0.023456324,23.37552,3.39207,7.6465344,0.0
14-02-16_12:19:22,1.1827357,-0.047884032,11.513716,-0.062420234,0.26799843,0.023456324,23.37552,3.39207,7.6465344,0.0
14-02-16_12:19:23,1.1827357,-0.047884032,11.513716,-0.062420234,0.26799843,0.023456324,22.220701,3.8232872,7.877717,0.0
14-02-16_12:19:23,1.1827357,-0.047884032,11.513716,-0.13169597,-0.078124896,-0.5144511,22.220701,3.8232872,7.877717,0.0
14-02-16_12:19:23,-0.10534488,-0.7290344,10.733206,-0.13169597,-0.078124896,-0.5144511,22.220701,3.8232872,7.877717,0.0
14-02-16_12:19:23,-0.10534488,-0.7290344,10.733206,-0.13169597,-0.078124896,-0.5144511,22.606707,5.309588,8.267921,0.0
14-02-16_12:19:23,-0.10534488,-0.7290344,10.733206,0.24966869,-1.0251449,-0.53362584,22.606707,5.309588,8.267921,0.0
14-02-16_12:19:23,-0.48362875,0.8463503,8.537724,0.24966869,-1.0251449,-0.53362584,22.606707,5.309588,8.267921,0.0
14-02-16_12:19:23,-0.48362875,0.8463503,8.537724,0.24966869,-1.0251449,-0.53362584,23.91611,7.145774,8.698067,0.0
14-02-16_12:19:23,-0.48362875,0.8463503,8.537724,0.291214,0.07846898,-0.3376172,23.91611,7.145774,8.698067,0.0
14-02-16_12:19:23,-2.3594859,0.6404489,10.065224,0.291214,0.07846898,-0.3376172,23.91611,7.145774,8.698067,0.0
14-02-16_12:19:23,-2.3594859,0.6404489,10.065224,0.291214,0.07846898,-0.3376172,24.623772,8.554634,9.078633,0.0
14-02-16_12:19:23,-2.3594859,0.6404489,10.065224,0.24538845,0.7400482,0.5955835,24.623772,8.554634,9.078633,0.0
14-02-16_12:19:23,-1.4053963,1.4748282,12.395979,0.24538845,0.7400482,0.5955835,24.623772,8.554634,9.078633,0.0
14-02-16_12:19:23,-1.4053963,1.4748282,12.395979,0.24538845,0.7400482,0.5955835,23.63379,8.845424,9.351936,0.0
14-02-16_12:19:23,-1.4053963,1.4748282,12.395979,-0.29257008,0.3938373,0.64138985,23.63379,8.845424,9.351936,0.0
14-02-16_12:19:23,2.823961,1.9656396,10.439917,-0.29257008,0.3938373,0.64138985,23.63379,8.845424,9.351936,0.0
14-02-16_12:19:24,2.823961,1.9656396,10.439917,-0.29257008,0.3938373,0.64138985,21.938278,8.140526,9.379695,0.0
14-02-16_12:19:24,2.823961,1.9656396,10.439917,-0.7889833,-0.103641175,0.011818577,21.938278,8.140526,9.379695,0.0
14-02-16_12:19:24,-3.0825348,1.34195,12.124237,-0.7889833,-0.103641175,0.011818577,21.938278,8.140526,9.379695,0.0
14-02-16_12:19:24,-3.0825348,1.34195,12.124237,-0.7889833,-0.103641175,0.011818577,21.148716,7.6274962,9.251697,0.0
14-02-16_12:19:24,-3.0825348,1.34195,12.124237,0.48505378,-0.40506068,0.043805804,21.148716,7.6274962,9.251697,0.0
14-02-16_12:19:24,1.2425907,-0.11611878,6.6044054,0.48505378,-0.40506068,0.043805804,21.148716,7.6274962,9.251697,0.0
14-02-16_12:19:24,1.2425907,-0.11611878,6.6044054,0.48505378,-0.40506068,0.043805804,21.475988,8.2973995,9.3468275,0.0
14-02-16_12:19:24,1.2425907,-0.11611878,6.6044054,-0.13173433,0.17337792,0.028892102,21.475988,8.2973995,9.3468275,0.0
14-02-16_12:19:24,3.858256,-0.94211835,8.622718,-0.13173433,0.17337792,0.028892102,21.475988,8.2973995,9.3468275,0.0
14-02-16_12:19:24,3.858256,-0.94211835,8.622718,-0.13173433,0.17337792,0.028892102,22.585287,9.812039,9.702893,0.0
14-02-16_12:19:24,3.858256,-0.94211835,8.622718,0.17825761,-0.73209685,-0.74555516,22.585287,9.812039,9.702893,0.0
14-02-16_12:19:24,0.50637364,0.0035913025,7.536947,0.17825761,-0.73209685,-0.74555516,22.585287,9.812039,9.702893,0.0
14-02-16_12:19:24,0.50637364,0.0035913025,7.536947,0.17825761,-0.73209685,-0.74555516,23.972193,11.265324,10.038863,0.0
14-02-16_12:19:24,0.50637364,0.0035913025,7.536947,-0.49819222,-0.61170334,-1.0225129,23.972193,11.265324,10.038863,0.0
14-02-16_12:19:24,-3.9683893,1.6927006,12.445061,-0.49819222,-0.61170334,-1.0225129,23.972193,11.265324,10.038863,0.0
14-02-16_12:19:25,-3.9683893,1.6927006,12.445061,-0.49819222,-0.61170334,-1.0225129,24.153162,12.137685,10.3564625,0.0
14-02-16_12:19:25,-3.9683893,1.6927006,12.445061,0.6000954,0.04982588,0.7223902,24.153162,12.137685,10.3564625,0.0
14-02-16_12:19:25,2.4971523,0.2789245,8.808268,0.6000954,0.04982588,0.7223902,24.153162,12.137685,10.3564625,0.0
14-02-16_12:19:25,2.4971523,0.2789245,8.808268,0.6000954,0.04982588,0.7223902,21.982067,12.197003,10.8910885,0.0
14-02-16_12:19:25,2.4971523,0.2789245,8.808268,0.037635792,0.5803276,-0.10958135,21.982067,12.197003,10.8910885,0.0
14-02-16_12:19:25,1.0366893,3.7852328,11.305421,0.037635792,0.5803276,-0.10958135,21.982067,12.197003,10.8910885,0.0
14-02-16_12:19:25,1.0366893,3.7852328,11.305421,0.037635792,0.5803276,-0.10958135,18.589577,11.419143,11.4235325,0.0
14-02-16_12:19:25,1.0366893,3.7852328,11.305421,-0.24573174,0.25757134,-0.20757477,18.589577,11.419143,11.4235325,0.0
14-02-16_12:19:25,-1.8231846,2.349909,10.401609,-0.24573174,0.25757134,-0.20757477,18.589577,11.419143,11.4235325,0.0
14-02-16_12:19:25,-1.8231846,2.349909,10.401609,-0.24573174,0.25757134,-0.20757477,15.8874235,10.205737,11.527865,0.0
14-02-16_12:19:25,-1.8231846,2.349909,10.401609,0.50101864,0.21283025,0.61800516,15.8874235,10.205737,11.527865,0.0
14-02-16_12:19:25,-1.377863,0.49799395,10.674548,0.50101864,0.21283025,0.61800516,15.8874235,10.205737,11.527865,0.0
14-02-16_12:19:25,-1.377863,0.49799395,10.674548,0.50101864,0.21283025,0.61800516,14.338564,9.008028,11.2668705,0.0
14-02-16_12:19:25,-1.377863,0.49799395,10.674548,0.08023918,0.27355033,0.46886814,14.338564,9.008028,11.2668705,0.0
14-02-16_12:19:25,4.6220064,0.89543146,9.405622,0.08023918,0.27355033,0.46886814,14.338564,9.008028,11.2668705,0.0
14-02-16_12:19:26,4.6220064,0.89543146,9.405622,0.08023918,0.27355033,0.46886814,14.290448,7.92295,10.759346,0.0
14-02-16_12:19:26,4.6220064,0.89543146,9.405622,-0.666516,-0.46146962,-0.17347884,14.290448,7.92295,10.759346,0.0
14-02-16_12:19:26,-3.6020765,2.5725696,10.868479,-0.666516,-0.46146962,-0.17347884,14.290448,7.92295,10.759346,0.0
14-02-16_12:19:26,-3.6020765,2.5725696,10.868479,-0.666516,-0.46146962,-0.17347884,16.106802,7.263172,10.135577,0.0
14-02-16_12:19:26,-3.6020765,2.5725696,10.868479,-0.2766292,-0.434838,-0.25656947,16.106802,7.263172,10.135577,0.0
14-02-16_12:19:26,7.311892,-0.7505822,14.469358,-0.2766292,-0.434838,-0.25656947,16.106802,7.263172,10.135577,0.0
14-02-16_12:19:26,7.311892,-0.7505822,14.469358,-0.2766292,-0.434838,-0.25656947,18.454044,7.48973,9.794214,0.0
14-02-16_12:19:26,7.311892,-0.7505822,14.469358,-0.042271025,-0.712872,-0.47388342,18.454044,7.48973,9.794214,0.0
14-02-16_12:19:26,1.1563994,0.2825158,13.962984,-0.042271025,-0.712872,-0.47388342,18.454044,7.48973,9.794214,0.0
14-02-16_12:19:26,1.1563994,0.2825158,13.962984,-0.042271025,-0.712872,-0.47388342,19.63343,8.432904,9.910984,0.0
14-02-16_12:19:26,1.1563994,0.2825158,13.962984,0.04401779,-0.36453694,-1.4933451,19.63343,8.432904,9.910984,0.0
14-02-16_12:19:26,-1.5921441,0.088585466,11.275493,0.04401779,-0.36453694,-1.4933451,19.63343,8.432904,9.910984,0.0
14-02-16_12:19:26,-1.5921441,0.088585466,11.275493,0.04401779,-0.36453694,-1.4933451,18.825651,9.267688,10.462628,0.0
14-02-16_12:19:26,-1.5921441,0.088585466,11.275493,-0.5780966,0.87010455,0.1567494,18.825651,9.267688,10.462628,0.0
14-02-16_12:19:26,1.7465701,0.35793316,12.528857,-0.5780966,0.87010455,0.1567494,18.825651,9.267688,10.462628,0.0
14-02-16_12:19:27,1.7465701,0.35793316,12.528857,-0.5780966,0.87010455,0.1567494,16.131767,9.266865,11.335452,0.0
14-02-16_12:19:27,1.7465701,0.35793316,12.528857,0.13136947,-0.1323093,1.0728768,16.131767,9.266865,11.335452,0.0
14-02-16_12:19:27,2.7724855,-1.3479356,8.9363575,0.13136947,-0.1323093,1.0728768,16.131767,9.266865,11.335452,0.0
14-02-16_12:19:27,2.7724855,-1.3479356,8.9363575,0.13136947,-0.1323093,1.0728768,13.375542,8.916614,12.081661,0.0
14-02-16_12:19:27,2.7724855,-1.3479356,8.9363575,0.0045934203,-0.048128113,0.14504614,13.375542,8.916614,12.081661,0.0
14-02-16_12:19:27,3.144784,-0.37948096,10.833763,0.0045934203,-0.048128113,0.14504614,13.375542,8.916614,12.081661,0.0
